v3	V(vout)
-7.409999999999998e-001	-8.784653e-001
-7.399999999999998e-001	-8.766162e-001
-7.389999999999998e-001	-8.747681e-001
-7.379999999999998e-001	-8.729212e-001
-7.369999999999998e-001	-8.710753e-001
-7.359999999999998e-001	-8.692306e-001
-7.349999999999998e-001	-8.673870e-001
-7.339999999999998e-001	-8.655444e-001
-7.329999999999998e-001	-8.637031e-001
-7.319999999999998e-001	-8.618628e-001
-7.309999999999998e-001	-8.600236e-001
-7.299999999999998e-001	-8.581855e-001
-7.289999999999998e-001	-8.563485e-001
-7.279999999999998e-001	-8.545126e-001
-7.269999999999998e-001	-8.526779e-001
-7.259999999999998e-001	-8.508443e-001
-7.249999999999998e-001	-8.490118e-001
-7.239999999999998e-001	-8.471804e-001
-7.229999999999998e-001	-8.453501e-001
-7.219999999999998e-001	-8.435210e-001
-7.209999999999998e-001	-8.416930e-001
-7.199999999999998e-001	-8.398661e-001
-7.189999999999998e-001	-8.380404e-001
-7.179999999999998e-001	-8.362159e-001
-7.169999999999998e-001	-8.343924e-001
-7.159999999999998e-001	-8.325701e-001
-7.149999999999998e-001	-8.307491e-001
-7.139999999999998e-001	-8.289292e-001
-7.129999999999998e-001	-8.271104e-001
-7.119999999999997e-001	-8.252929e-001
-7.109999999999997e-001	-8.234765e-001
-7.099999999999997e-001	-8.216614e-001
-7.089999999999997e-001	-8.198474e-001
-7.079999999999997e-001	-8.180347e-001
-7.069999999999997e-001	-8.162232e-001
-7.059999999999997e-001	-8.144129e-001
-7.049999999999997e-001	-8.126039e-001
-7.039999999999997e-001	-8.107961e-001
-7.029999999999997e-001	-8.089896e-001
-7.019999999999997e-001	-8.071844e-001
-7.009999999999997e-001	-8.053804e-001
-6.999999999999997e-001	-8.035778e-001
-6.989999999999997e-001	-8.017764e-001
-6.979999999999997e-001	-7.999763e-001
-6.969999999999997e-001	-7.981777e-001
-6.959999999999997e-001	-7.963803e-001
-6.949999999999997e-001	-7.945843e-001
-6.939999999999997e-001	-7.927896e-001
-6.929999999999997e-001	-7.909963e-001
-6.919999999999997e-001	-7.892044e-001
-6.909999999999997e-001	-7.874139e-001
-6.899999999999997e-001	-7.856249e-001
-6.889999999999997e-001	-7.838372e-001
-6.879999999999997e-001	-7.820510e-001
-6.869999999999997e-001	-7.802662e-001
-6.859999999999997e-001	-7.784829e-001
-6.849999999999997e-001	-7.767011e-001
-6.839999999999997e-001	-7.749208e-001
-6.829999999999997e-001	-7.731420e-001
-6.819999999999997e-001	-7.713647e-001
-6.809999999999997e-001	-7.695891e-001
-6.799999999999997e-001	-7.678149e-001
-6.789999999999997e-001	-7.660424e-001
-6.779999999999997e-001	-7.642714e-001
-6.769999999999997e-001	-7.625020e-001
-6.759999999999997e-001	-7.607343e-001
-6.749999999999997e-001	-7.589682e-001
-6.739999999999997e-001	-7.572038e-001
-6.729999999999997e-001	-7.554411e-001
-6.719999999999997e-001	-7.536801e-001
-6.709999999999997e-001	-7.519208e-001
-6.699999999999997e-001	-7.501632e-001
-6.689999999999997e-001	-7.484074e-001
-6.679999999999997e-001	-7.466534e-001
-6.669999999999997e-001	-7.449012e-001
-6.659999999999997e-001	-7.431508e-001
-6.649999999999997e-001	-7.414023e-001
-6.639999999999997e-001	-7.396556e-001
-6.629999999999997e-001	-7.379109e-001
-6.619999999999997e-001	-7.361680e-001
-6.609999999999997e-001	-7.344271e-001
-6.599999999999997e-001	-7.326881e-001
-6.589999999999997e-001	-7.309511e-001
-6.579999999999997e-001	-7.292161e-001
-6.569999999999997e-001	-7.274832e-001
-6.559999999999997e-001	-7.257522e-001
-6.549999999999997e-001	-7.240234e-001
-6.539999999999997e-001	-7.222967e-001
-6.529999999999997e-001	-7.205721e-001
-6.519999999999997e-001	-7.188497e-001
-6.509999999999997e-001	-7.171294e-001
-6.499999999999997e-001	-7.154113e-001
-6.489999999999997e-001	-7.136955e-001
-6.479999999999997e-001	-7.119820e-001
-6.469999999999997e-001	-7.102707e-001
-6.459999999999997e-001	-7.085618e-001
-6.449999999999997e-001	-7.068552e-001
-6.439999999999997e-001	-7.051510e-001
-6.429999999999997e-001	-7.034491e-001
-6.419999999999997e-001	-7.017498e-001
-6.409999999999997e-001	-7.000529e-001
-6.399999999999997e-001	-6.983585e-001
-6.389999999999997e-001	-6.966667e-001
-6.379999999999997e-001	-6.949774e-001
-6.369999999999997e-001	-6.932907e-001
-6.359999999999997e-001	-6.916066e-001
-6.349999999999997e-001	-6.899253e-001
-6.339999999999997e-001	-6.882465e-001
-6.329999999999997e-001	-6.865706e-001
-6.319999999999997e-001	-6.848974e-001
-6.309999999999997e-001	-6.832271e-001
-6.299999999999997e-001	-6.815595e-001
-6.289999999999997e-001	-6.798949e-001
-6.279999999999997e-001	-6.782331e-001
-6.269999999999997e-001	-6.765743e-001
-6.259999999999997e-001	-6.749185e-001
-6.249999999999997e-001	-6.732658e-001
-6.239999999999997e-001	-6.716160e-001
-6.229999999999997e-001	-6.699694e-001
-6.219999999999997e-001	-6.683260e-001
-6.209999999999997e-001	-6.666858e-001
-6.199999999999997e-001	-6.650487e-001
-6.189999999999997e-001	-6.634150e-001
-6.179999999999997e-001	-6.617845e-001
-6.169999999999997e-001	-6.601574e-001
-6.159999999999997e-001	-6.585337e-001
-6.149999999999997e-001	-6.569135e-001
-6.139999999999997e-001	-6.552967e-001
-6.129999999999997e-001	-6.536834e-001
-6.119999999999997e-001	-6.520738e-001
-6.109999999999997e-001	-6.504678e-001
-6.099999999999997e-001	-6.488653e-001
-6.089999999999997e-001	-6.472666e-001
-6.079999999999997e-001	-6.456717e-001
-6.069999999999997e-001	-6.440806e-001
-6.059999999999997e-001	-6.424933e-001
-6.049999999999997e-001	-6.409099e-001
-6.039999999999997e-001	-6.393305e-001
-6.029999999999997e-001	-6.377550e-001
-6.019999999999997e-001	-6.361836e-001
-6.009999999999997e-001	-6.346163e-001
-5.999999999999996e-001	-6.330531e-001
-5.989999999999996e-001	-6.314940e-001
-5.979999999999996e-001	-6.299393e-001
-5.969999999999996e-001	-6.283888e-001
-5.959999999999996e-001	-6.268426e-001
-5.949999999999996e-001	-6.253007e-001
-5.939999999999996e-001	-6.237633e-001
-5.929999999999996e-001	-6.222304e-001
-5.919999999999996e-001	-6.207020e-001
-5.909999999999996e-001	-6.191782e-001
-5.899999999999996e-001	-6.176590e-001
-5.889999999999996e-001	-6.161444e-001
-5.879999999999996e-001	-6.146346e-001
-5.869999999999996e-001	-6.131295e-001
-5.859999999999996e-001	-6.116292e-001
-5.849999999999996e-001	-6.101338e-001
-5.839999999999996e-001	-6.086434e-001
-5.829999999999996e-001	-6.071578e-001
-5.819999999999996e-001	-6.056772e-001
-5.809999999999996e-001	-6.042017e-001
-5.799999999999996e-001	-6.027312e-001
-5.789999999999996e-001	-6.012659e-001
-5.779999999999996e-001	-5.998057e-001
-5.769999999999996e-001	-5.983508e-001
-5.759999999999996e-001	-5.969010e-001
-5.749999999999996e-001	-5.954566e-001
-5.739999999999996e-001	-5.940175e-001
-5.729999999999996e-001	-5.925837e-001
-5.719999999999996e-001	-5.911554e-001
-5.709999999999996e-001	-5.897325e-001
-5.699999999999996e-001	-5.883150e-001
-5.689999999999996e-001	-5.869030e-001
-5.679999999999996e-001	-5.854965e-001
-5.669999999999996e-001	-5.840957e-001
-5.659999999999996e-001	-5.827003e-001
-5.649999999999996e-001	-5.813106e-001
-5.639999999999996e-001	-5.799265e-001
-5.629999999999996e-001	-5.785481e-001
-5.619999999999996e-001	-5.771753e-001
-5.609999999999996e-001	-5.758082e-001
-5.599999999999996e-001	-5.744467e-001
-5.589999999999996e-001	-5.730910e-001
-5.579999999999996e-001	-5.717410e-001
-5.569999999999996e-001	-5.703967e-001
-5.559999999999996e-001	-5.690581e-001
-5.549999999999996e-001	-5.677253e-001
-5.539999999999996e-001	-5.663982e-001
-5.529999999999996e-001	-5.650768e-001
-5.519999999999996e-001	-5.637611e-001
-5.509999999999996e-001	-5.624512e-001
-5.499999999999996e-001	-5.611469e-001
-5.489999999999996e-001	-5.598484e-001
-5.479999999999996e-001	-5.585555e-001
-5.469999999999996e-001	-5.572682e-001
-5.459999999999996e-001	-5.559866e-001
-5.449999999999996e-001	-5.547106e-001
-5.439999999999996e-001	-5.534402e-001
-5.429999999999996e-001	-5.521753e-001
-5.419999999999996e-001	-5.509160e-001
-5.409999999999996e-001	-5.496621e-001
-5.399999999999996e-001	-5.484136e-001
-5.389999999999996e-001	-5.471706e-001
-5.379999999999996e-001	-5.459329e-001
-5.369999999999996e-001	-5.447006e-001
-5.359999999999996e-001	-5.434735e-001
-5.349999999999996e-001	-5.422516e-001
-5.339999999999996e-001	-5.410350e-001
-5.329999999999996e-001	-5.398234e-001
-5.319999999999996e-001	-5.386169e-001
-5.309999999999996e-001	-5.374154e-001
-5.299999999999996e-001	-5.362188e-001
-5.289999999999996e-001	-5.350271e-001
-5.279999999999996e-001	-5.338402e-001
-5.269999999999996e-001	-5.326580e-001
-5.259999999999996e-001	-5.314806e-001
-5.249999999999996e-001	-5.303077e-001
-5.239999999999996e-001	-5.291393e-001
-5.229999999999996e-001	-5.279754e-001
-5.219999999999996e-001	-5.268160e-001
-5.209999999999996e-001	-5.256608e-001
-5.199999999999996e-001	-5.245099e-001
-5.189999999999996e-001	-5.233632e-001
-5.179999999999996e-001	-5.222205e-001
-5.169999999999996e-001	-5.210819e-001
-5.159999999999996e-001	-5.199472e-001
-5.149999999999996e-001	-5.188164e-001
-5.139999999999996e-001	-5.176893e-001
-5.129999999999996e-001	-5.165659e-001
-5.119999999999996e-001	-5.154462e-001
-5.109999999999996e-001	-5.143300e-001
-5.099999999999996e-001	-5.132173e-001
-5.089999999999996e-001	-5.121080e-001
-5.079999999999996e-001	-5.110021e-001
-5.069999999999996e-001	-5.098993e-001
-5.059999999999996e-001	-5.087997e-001
-5.049999999999996e-001	-5.077032e-001
-5.039999999999996e-001	-5.066097e-001
-5.029999999999996e-001	-5.055191e-001
-5.019999999999996e-001	-5.044314e-001
-5.009999999999996e-001	-5.033464e-001
-4.999999999999996e-001	-5.022642e-001
-4.989999999999996e-001	-5.011846e-001
-4.979999999999996e-001	-5.001076e-001
-4.969999999999996e-001	-4.990332e-001
-4.959999999999996e-001	-4.979611e-001
-4.949999999999996e-001	-4.968914e-001
-4.939999999999996e-001	-4.958240e-001
-4.929999999999996e-001	-4.947588e-001
-4.919999999999996e-001	-4.936959e-001
-4.909999999999996e-001	-4.926350e-001
-4.899999999999996e-001	-4.915761e-001
-4.889999999999996e-001	-4.905193e-001
-4.879999999999996e-001	-4.894643e-001
-4.869999999999995e-001	-4.884113e-001
-4.859999999999995e-001	-4.873601e-001
-4.849999999999995e-001	-4.863106e-001
-4.839999999999995e-001	-4.852628e-001
-4.829999999999995e-001	-4.842166e-001
-4.819999999999995e-001	-4.831721e-001
-4.809999999999995e-001	-4.821291e-001
-4.799999999999995e-001	-4.810876e-001
-4.789999999999995e-001	-4.800476e-001
-4.779999999999995e-001	-4.790089e-001
-4.769999999999995e-001	-4.779717e-001
-4.759999999999995e-001	-4.769357e-001
-4.749999999999995e-001	-4.759010e-001
-4.739999999999995e-001	-4.748676e-001
-4.729999999999995e-001	-4.738353e-001
-4.719999999999995e-001	-4.728042e-001
-4.709999999999995e-001	-4.717742e-001
-4.699999999999995e-001	-4.707452e-001
-4.689999999999995e-001	-4.697173e-001
-4.679999999999995e-001	-4.686904e-001
-4.669999999999995e-001	-4.676645e-001
-4.659999999999995e-001	-4.666395e-001
-4.649999999999995e-001	-4.656154e-001
-4.639999999999995e-001	-4.645922e-001
-4.629999999999995e-001	-4.635698e-001
-4.619999999999995e-001	-4.625483e-001
-4.609999999999995e-001	-4.615275e-001
-4.599999999999995e-001	-4.605075e-001
-4.589999999999995e-001	-4.594882e-001
-4.579999999999995e-001	-4.584696e-001
-4.569999999999995e-001	-4.574517e-001
-4.559999999999995e-001	-4.564345e-001
-4.549999999999995e-001	-4.554178e-001
-4.539999999999995e-001	-4.544019e-001
-4.529999999999995e-001	-4.533864e-001
-4.519999999999995e-001	-4.523716e-001
-4.509999999999995e-001	-4.513573e-001
-4.499999999999995e-001	-4.503435e-001
-4.489999999999995e-001	-4.493303e-001
-4.479999999999995e-001	-4.483175e-001
-4.469999999999995e-001	-4.473052e-001
-4.459999999999995e-001	-4.462934e-001
-4.449999999999995e-001	-4.452820e-001
-4.439999999999995e-001	-4.442710e-001
-4.429999999999995e-001	-4.432604e-001
-4.419999999999995e-001	-4.422503e-001
-4.409999999999995e-001	-4.412405e-001
-4.399999999999995e-001	-4.402310e-001
-4.389999999999995e-001	-4.392219e-001
-4.379999999999995e-001	-4.382132e-001
-4.369999999999995e-001	-4.372048e-001
-4.359999999999995e-001	-4.361967e-001
-4.349999999999995e-001	-4.351889e-001
-4.339999999999995e-001	-4.341814e-001
-4.329999999999995e-001	-4.331742e-001
-4.319999999999995e-001	-4.321673e-001
-4.309999999999995e-001	-4.311606e-001
-4.299999999999995e-001	-4.301541e-001
-4.289999999999995e-001	-4.291479e-001
-4.279999999999995e-001	-4.281420e-001
-4.269999999999995e-001	-4.271362e-001
-4.259999999999995e-001	-4.261307e-001
-4.249999999999995e-001	-4.251254e-001
-4.239999999999995e-001	-4.241203e-001
-4.229999999999995e-001	-4.231154e-001
-4.219999999999995e-001	-4.221106e-001
-4.209999999999995e-001	-4.211061e-001
-4.199999999999995e-001	-4.201017e-001
-4.189999999999995e-001	-4.190975e-001
-4.179999999999995e-001	-4.180934e-001
-4.169999999999995e-001	-4.170895e-001
-4.159999999999995e-001	-4.160858e-001
-4.149999999999995e-001	-4.150822e-001
-4.139999999999995e-001	-4.140787e-001
-4.129999999999995e-001	-4.130753e-001
-4.119999999999995e-001	-4.120721e-001
-4.109999999999995e-001	-4.110690e-001
-4.099999999999995e-001	-4.100660e-001
-4.089999999999995e-001	-4.090632e-001
-4.079999999999995e-001	-4.080604e-001
-4.069999999999995e-001	-4.070578e-001
-4.059999999999995e-001	-4.060552e-001
-4.049999999999995e-001	-4.050528e-001
-4.039999999999995e-001	-4.040504e-001
-4.029999999999995e-001	-4.030482e-001
-4.019999999999995e-001	-4.020460e-001
-4.009999999999995e-001	-4.010439e-001
-3.999999999999995e-001	-4.000418e-001
-3.989999999999995e-001	-3.990399e-001
-3.979999999999995e-001	-3.980380e-001
-3.969999999999995e-001	-3.970363e-001
-3.959999999999995e-001	-3.960345e-001
-3.949999999999995e-001	-3.950329e-001
-3.939999999999995e-001	-3.940313e-001
-3.929999999999995e-001	-3.930297e-001
-3.919999999999995e-001	-3.920282e-001
-3.909999999999995e-001	-3.910268e-001
-3.899999999999995e-001	-3.900255e-001
-3.889999999999995e-001	-3.890241e-001
-3.879999999999995e-001	-3.880229e-001
-3.869999999999995e-001	-3.870217e-001
-3.859999999999995e-001	-3.860205e-001
-3.849999999999995e-001	-3.850194e-001
-3.839999999999995e-001	-3.840183e-001
-3.829999999999995e-001	-3.830173e-001
-3.819999999999995e-001	-3.820163e-001
-3.809999999999995e-001	-3.810153e-001
-3.799999999999995e-001	-3.800144e-001
-3.789999999999995e-001	-3.790135e-001
-3.779999999999995e-001	-3.780127e-001
-3.769999999999995e-001	-3.770118e-001
-3.759999999999995e-001	-3.760111e-001
-3.749999999999994e-001	-3.750103e-001
-3.739999999999994e-001	-3.740096e-001
-3.729999999999994e-001	-3.730089e-001
-3.719999999999994e-001	-3.720082e-001
-3.709999999999994e-001	-3.710076e-001
-3.699999999999994e-001	-3.700069e-001
-3.689999999999994e-001	-3.690064e-001
-3.679999999999994e-001	-3.680058e-001
-3.669999999999994e-001	-3.670053e-001
-3.659999999999994e-001	-3.660047e-001
-3.649999999999994e-001	-3.650042e-001
-3.639999999999994e-001	-3.640037e-001
-3.629999999999994e-001	-3.630033e-001
-3.619999999999994e-001	-3.620028e-001
-3.609999999999994e-001	-3.610024e-001
-3.599999999999994e-001	-3.600020e-001
-3.589999999999994e-001	-3.590016e-001
-3.579999999999994e-001	-3.580012e-001
-3.569999999999994e-001	-3.570009e-001
-3.559999999999994e-001	-3.560005e-001
-3.549999999999994e-001	-3.550002e-001
-3.539999999999994e-001	-3.539999e-001
-3.529999999999994e-001	-3.529995e-001
-3.519999999999994e-001	-3.519992e-001
-3.509999999999994e-001	-3.509990e-001
-3.499999999999994e-001	-3.499987e-001
-3.489999999999994e-001	-3.489984e-001
-3.479999999999994e-001	-3.479982e-001
-3.469999999999994e-001	-3.469979e-001
-3.459999999999994e-001	-3.459977e-001
-3.449999999999994e-001	-3.449975e-001
-3.439999999999994e-001	-3.439973e-001
-3.429999999999994e-001	-3.429971e-001
-3.419999999999994e-001	-3.419969e-001
-3.409999999999994e-001	-3.409967e-001
-3.399999999999994e-001	-3.399965e-001
-3.389999999999994e-001	-3.389964e-001
-3.379999999999994e-001	-3.379962e-001
-3.369999999999994e-001	-3.369960e-001
