time	V(n002)	V(n005)
1.768067390640195e-004	3.282239e+000	1.347667e+001
1.807129890640195e-004	3.608951e+000	1.347667e+001
1.885254890640195e-004	4.250223e+000	1.347520e+001
1.963379890640195e-004	4.873693e+000	1.346354e+001
2.002442390640195e-004	5.178204e+000	1.344488e+001
2.041504890640195e-004	5.478909e+000	1.341051e+001
2.042567711601200e-004	5.486998e+000	1.340826e+001
2.044693353523207e-004	5.503062e+000	1.339969e+001
2.048425872521143e-004	5.531247e+000	1.337910e+001
2.048717585415309e-004	5.533428e+000	1.337659e+001
2.049301011203641e-004	5.537727e+000	1.336886e+001
2.050188484006765e-004	5.544159e+000	1.335238e+001
2.050603768082781e-004	5.547034e+000	1.334033e+001
2.050897101432492e-004	5.548892e+000	1.332699e+001
2.051103999609742e-004	5.550022e+000	1.331303e+001
2.051275272750728e-004	5.550747e+000	1.329630e+001
2.051444682851355e-004	5.551203e+000	1.327308e+001
2.051652028084608e-004	5.551480e+000	1.323527e+001
2.051924111063589e-004	5.551696e+000	1.317363e+001
2.052210650235055e-004	5.551973e+000	1.309614e+001
2.052508324162749e-004	5.552308e+000	1.299876e+001
2.052943493303879e-004	5.552581e+000	1.282000e+001
2.053525766831984e-004	5.552202e+000	1.250921e+001
2.054171312741529e-004	5.550795e+000	1.206159e+001
2.054752853072610e-004	5.549228e+000	1.156120e+001
2.055279280049290e-004	5.548873e+000	1.104085e+001
2.055887891247122e-004	5.550831e+000	1.040212e+001
2.056482299577266e-004	5.554669e+000	9.769220e+000
2.057877073049848e-004	5.565349e+000	8.279905e+000
2.062140131946014e-004	5.596968e+000	3.702265e+000
2.065839234591436e-004	5.624148e+000	-3.051473e-001
2.073237439882279e-004	5.677938e+000	-8.378113e+000
2.076699037647694e-004	5.705941e+000	-1.208815e+001
2.078007051376247e-004	5.721712e+000	-1.334826e+001
2.078059098444738e-004	5.723520e+000	-1.337322e+001
2.078163192581715e-004	5.729108e+000	-1.338057e+001
2.078371380855671e-004	5.739533e+000	-1.339166e+001
2.078520243514333e-004	5.745641e+000	-1.339773e+001
2.078682387136556e-004	5.750587e+000	-1.340284e+001
