time	V(in,+)	V(out)	V(in,-)
1.196511784780209e-003	5.895353e+000	1.284099e+001	6.000000e+000
1.202371159780209e-003	6.071135e+000	9.447829e+000	6.000000e+000
1.204729168135581e-003	6.141875e+000	6.176670e+000	6.000000e+000
1.207554193397854e-003	6.226626e+000	1.600729e+000	6.000000e+000
1.207602631058381e-003	6.228079e+000	1.566074e+000	6.000000e+000
1.209210216463546e-003	6.276306e+000	1.555256e+000	6.000000e+000
1.210817801868710e-003	6.324534e+000	1.546340e+000	6.000000e+000
1.212425387273875e-003	6.372762e+000	1.539325e+000	6.000000e+000
1.214032972679040e-003	6.420989e+000	1.534212e+000	6.000000e+000
1.215640558084204e-003	6.469217e+000	1.531000e+000	6.000000e+000
1.217248143489369e-003	6.517444e+000	1.529689e+000	6.000000e+000
1.218855728894534e-003	6.565672e+000	1.530279e+000	6.000000e+000
1.236433853894534e-003	7.093016e+000	1.523061e+000	6.000000e+000
1.500335546238661e-003	1.498993e+001	1.523146e+000	6.000000e+000
1.540232068164435e-003	1.379304e+001	1.522639e+000	6.000000e+000
1.580128590090209e-003	1.259614e+001	1.522449e+000	6.000000e+000
1.620025112015982e-003	1.139925e+001	1.522577e+000	6.000000e+000
1.659921633941756e-003	1.020235e+001	1.523022e+000	6.000000e+000
1.699818155867530e-003	9.005455e+000	1.523784e+000	6.000000e+000
1.739714677793304e-003	7.808560e+000	1.524863e+000	6.000000e+000
1.779611199719077e-003	6.611664e+000	1.526259e+000	6.000000e+000
1.790865755733787e-003	6.274027e+000	1.543009e+000	6.000000e+000
1.796725130733787e-003	6.098246e+000	1.569292e+000	6.000000e+000
1.800647658501722e-003	5.980570e+000	2.196029e+000	6.000000e+000
1.802640342900480e-003	5.920790e+000	3.934579e+000	6.000000e+000
1.804066694556966e-003	5.877999e+000	6.843921e+000	6.000000e+000
1.805574822801197e-003	5.832756e+000	1.082300e+001	6.000000e+000
1.806695914980740e-003	5.799123e+000	1.338555e+001	6.000000e+000
1.809056535345004e-003	5.728304e+000	1.342352e+001	6.000000e+000
1.811417155709269e-003	5.657486e+000	1.345302e+001	6.000000e+000
1.813777776073533e-003	5.586667e+000	1.347405e+001	6.000000e+000
1.816138396437798e-003	5.515848e+000	1.348662e+001	6.000000e+000
1.818499016802063e-003	5.445030e+000	1.349071e+001	6.000000e+000
1.820859637166327e-003	5.374211e+000	1.348634e+001	6.000000e+000
1.823220257530592e-003	5.303392e+000	1.347349e+001	6.000000e+000
1.842472489673449e-003	4.725825e+000	1.347511e+001	6.000000e+000
1.861724721816306e-003	4.148258e+000	1.347638e+001	6.000000e+000
1.880976953959163e-003	3.570692e+000	1.347729e+001	6.000000e+000
1.900229186102020e-003	2.993125e+000	1.347786e+001	6.000000e+000
1.919481418244878e-003	2.415558e+000	1.347807e+001	6.000000e+000
1.938733650387735e-003	1.837991e+000	1.347793e+001	6.000000e+000
1.957985882530592e-003	1.260424e+000	1.347744e+001	6.000000e+000
1.963845257530592e-003	1.084642e+000	1.347746e+001	6.000000e+000
