time	V(vin+)	V(vout)
1.558472969422965e-003	-3.591869e-001	-1.074653e+000
1.576051094422965e-003	-4.598650e-001	-1.376693e+000
1.593629219422965e-003	-5.549391e-001	-1.661955e+000
1.611207344422965e-003	-6.432507e-001	-1.926965e+000
1.628785469422965e-003	-7.237236e-001	-2.168491e+000
1.646363594422965e-003	-7.953771e-001	-2.383592e+000
1.663941719422965e-003	-8.573382e-001	-2.569646e+000
1.681519844422965e-003	-9.088517e-001	-2.724385e+000
1.699097969422965e-003	-9.492899e-001	-2.845924e+000
1.716676094422965e-003	-9.781599e-001	-2.932783e+000
1.734254219422965e-003	-9.951100e-001	-2.983902e+000
1.751832344422965e-003	-9.999337e-001	-2.998658e+000
1.769410469422965e-003	-9.925721e-001	-2.976872e+000
1.786988594422965e-003	-9.731150e-001	-2.918809e+000
1.804566719422965e-003	-9.417995e-001	-2.825177e+000
1.822144844422965e-003	-8.990071e-001	-2.697118e+000
1.839722969422965e-003	-8.452593e-001	-2.536190e+000
1.857301094422965e-003	-7.812112e-001	-2.344356e+000
1.874879219422965e-003	-7.076432e-001	-2.123953e+000
1.892457344422965e-003	-6.254518e-001	-1.877668e+000
1.910035469422965e-003	-5.356386e-001	-1.608501e+000
1.927613594422965e-003	-4.392981e-001	-1.319732e+000
1.945191719422965e-003	-3.376043e-001	-1.014880e+000
1.962769844422965e-003	-2.317964e-001	-6.976612e-001
1.980347969422965e-003	-1.231638e-001	-3.719399e-001
1.997926094422964e-003	-1.303036e-002	-4.168582e-002
2.015504219422963e-003	9.726188e-002	2.890767e-001
2.033082344422963e-003	2.063689e-001	6.163169e-001
2.050660469422962e-003	3.129611e-001	9.360471e-001
2.068238594422961e-003	4.157395e-001	1.244371e+000
2.085816719422961e-003	5.134517e-001	1.537531e+000
2.103394844422960e-003	6.049069e-001	1.811956e+000
2.120972969422960e-003	6.889907e-001	2.064300e+000
2.138551094422959e-003	7.646785e-001	2.291490e+000
2.156129219422958e-003	8.310478e-001	2.490755e+000
2.173707344422958e-003	8.872899e-001	2.659668e+000
2.191285469422957e-003	9.327194e-001	2.796172e+000
2.208863594422956e-003	9.667827e-001	2.898601e+000
2.226441719422956e-003	9.890649e-001	2.965708e+000
2.244019844422955e-003	9.992942e-001	2.996676e+000
2.261597969422954e-003	9.973460e-001	2.991126e+000
2.279176094422954e-003	9.832441e-001	2.949127e+000
2.296754219422953e-003	9.571604e-001	2.871189e+000
2.314332344422953e-003	9.194126e-001	2.758264e+000
2.331910469422952e-003	8.704608e-001	2.611726e+000
2.349488594422951e-003	8.109015e-001	2.433362e+000
2.367066719422951e-003	7.414606e-001	2.225346e+000
2.384644844422950e-003	6.629841e-001	1.990211e+000
2.402222969422949e-003	5.764285e-001	1.730824e+000
2.419801094422949e-003	4.828485e-001	1.450345e+000
2.437379219422948e-003	3.833844e-001	1.152193e+000
2.454957344422947e-003	2.792485e-001	8.399999e-001
2.472535469422947e-003	1.717096e-001	5.175711e-001
2.490113594422946e-003	6.207818e-002	1.888355e-001
2.494298862280089e-003	3.576822e-002	1.099388e-001
