time	V(in,-)	V(out)	V(in,+)
9.281123797009443e-004	2.000000e+000	1.523361e+000	7.188762e-001
9.339717547009443e-004	2.000000e+000	1.523678e+000	6.602825e-001
9.398311297009443e-004	2.000000e+000	1.524332e+000	6.016887e-001
9.456905047009444e-004	2.000000e+000	1.525306e+000	5.430950e-001
9.515498797009444e-004	2.000000e+000	1.526532e+000	4.845012e-001
9.574092547009444e-004	2.000000e+000	1.527956e+000	4.259075e-001
9.632686297009444e-004	2.000000e+000	1.529556e+000	3.673137e-001
9.749873797009444e-004	2.000000e+000	1.533294e+000	2.501262e-001
9.925655047009444e-004	2.000000e+000	1.540546e+000	7.434496e-002
1.000000001000000e-003	2.000000e+000	1.544508e+000	0.000000e+000
1.005504546292294e-003	2.000000e+000	1.542328e+000	5.504545e-002
1.011009091584587e-003	2.000000e+000	1.540179e+000	1.100909e-001
1.016513636876880e-003	2.000000e+000	1.538063e+000	1.651364e-001
1.022018182169174e-003	2.000000e+000	1.535979e+000	2.201818e-001
1.027522727461467e-003	2.000000e+000	1.533926e+000	2.752273e-001
1.033027272753760e-003	2.000000e+000	1.531906e+000	3.302727e-001
1.038531818046054e-003	2.000000e+000	1.529918e+000	3.853182e-001
1.044391193046054e-003	2.000000e+000	1.528282e+000	4.439119e-001
1.050250568046054e-003	2.000000e+000	1.526821e+000	5.025057e-001
1.056109943046054e-003	2.000000e+000	1.525551e+000	5.610994e-001
1.061969318046054e-003	2.000000e+000	1.524518e+000	6.196932e-001
1.067828693046054e-003	2.000000e+000	1.523789e+000	6.782869e-001
1.073688068046054e-003	2.000000e+000	1.523400e+000	7.368807e-001
1.079547443046054e-003	2.000000e+000	1.523288e+000	7.954744e-001
1.085406818046054e-003	2.000000e+000	1.523332e+000	8.540682e-001
1.091266193046054e-003	2.000000e+000	1.523450e+000	9.126619e-001
1.097125568046054e-003	2.000000e+000	1.523621e+000	9.712557e-001
1.114703693046054e-003	2.000000e+000	1.524534e+000	1.147037e+000
1.120563068046054e-003	2.000000e+000	1.524849e+000	1.205631e+000
1.126422443046054e-003	2.000000e+000	1.525442e+000	1.264224e+000
1.132281818046054e-003	2.000000e+000	1.526313e+000	1.322818e+000
1.138141193046054e-003	2.000000e+000	1.527463e+000	1.381412e+000
1.144000568046054e-003	2.000000e+000	1.528892e+000	1.440006e+000
1.149859943046054e-003	2.000000e+000	1.530599e+000	1.498599e+000
1.155719318046054e-003	2.000000e+000	1.532585e+000	1.557193e+000
1.160741639474625e-003	2.000000e+000	1.534093e+000	1.607416e+000
1.165763960903197e-003	2.000000e+000	1.536894e+000	1.657640e+000
1.170786282331768e-003	2.000000e+000	1.540989e+000	1.707863e+000
1.175808603760340e-003	2.000000e+000	1.546378e+000	1.758086e+000
1.180830925188911e-003	2.000000e+000	1.553061e+000	1.808309e+000
1.185853246617483e-003	2.000000e+000	1.561038e+000	1.858532e+000
1.190875568046054e-003	2.000000e+000	1.570308e+000	1.908756e+000
1.196734943046054e-003	2.000000e+000	1.595186e+000	1.967349e+000
1.200255043042441e-003	2.000000e+000	1.840845e+000	2.002550e+000
1.202820983324665e-003	2.000000e+000	2.463362e+000	2.028210e+000
1.205280408669778e-003	2.000000e+000	3.319986e+000	2.052804e+000
1.205700995089873e-003	2.000000e+000	3.395845e+000	2.057010e+000
1.208901472963652e-003	2.000000e+000	3.413886e+000	2.089015e+000
1.212101950837430e-003	2.000000e+000	3.428716e+000	2.121019e+000
1.215302428711210e-003	2.000000e+000	3.440337e+000	2.153024e+000
1.218502906584989e-003	2.000000e+000	3.448748e+000	2.185029e+000
1.221703384458768e-003	2.000000e+000	3.453949e+000	2.217034e+000
1.224903862332546e-003	2.000000e+000	3.455941e+000	2.249039e+000
1.228104340206325e-003	2.000000e+000	3.454722e+000	2.281043e+000
1.240660143777754e-003	2.000000e+000	3.462509e+000	2.406601e+000
1.253215947349183e-003	2.000000e+000	3.468748e+000	2.532159e+000
1.265771750920611e-003	2.000000e+000	3.473440e+000	2.657717e+000
1.278327554492040e-003	2.000000e+000	3.476584e+000	2.783275e+000
1.290883358063468e-003	2.000000e+000	3.478180e+000	2.908833e+000
