08-11-20	11:01
Amplitude: 0,20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 87,096             15,303            -174,061
 89,125             15,306            -174,182
 91,201             15,308            -174,434
 93,325             15,310            -174,609
 95,499             15,313            -174,763
 97,724             15,315            -174,965
100,000             15,318            -175,119
102,329             15,320            -175,217
104,713             15,322            -175,453
107,152             15,324            -175,548
109,648             15,326            -175,782
112,202             15,327            -175,951
114,815             15,330            -176,026
117,490             15,330            -176,231
120,226             15,332            -176,419
123,027             15,335            -176,481
125,893             15,336            -176,638
128,825             15,335            -176,740
131,826             15,336            -176,983
134,896             15,337            -177,046
138,038             15,339            -177,268
141,254             15,340            -177,435
144,544             15,341            -177,561
147,911             15,343            -177,563
151,356             15,343            -177,814
154,882             15,344            -177,857
158,489             15,344            -178,125
162,181             15,345            -178,141
165,959             15,346            -178,366
169,824             15,346            -178,507
173,780             15,347            -178,645
177,828             15,347            -178,766
181,970             15,347            -178,897
186,209             15,348            -179,014
190,546             15,348            -179,157
194,984             15,349            -179,256
199,526             15,349            -179,267
204,174             15,349            -179,396
208,930             15,350            -179,517
213,796             15,350            -179,643
218,776             15,350            -179,764
223,872             15,349            180,106
229,087             15,350            179,984
234,423             15,349            179,860
239,883             15,349            179,568
245,471             15,349            179,611
251,189             15,349            179,309
257,040             15,349            179,369
263,027             15,349            179,050
269,153             15,348            179,116
275,423             15,347            178,800
281,838             15,347            178,868
288,403             15,346            178,532
295,121             15,346            178,486
301,995             15,345            178,261
309,030             15,345            178,130
316,228             15,344            178,222
323,594             15,343            177,869
331,131             15,343            177,818
338,844             15,342            177,832
346,737             15,341            177,548
354,813             15,339            177,411
363,078             15,339            177,272
371,535             15,338            177,066
380,189             15,337            176,941
389,045             15,335            177,025
398,107             15,334            176,867
407,380             15,336            176,583
416,869             15,330            176,358
426,580             15,329            176,250
436,516             15,328            175,971
446,684             15,326            175,929
457,088             15,324            175,787
467,735             15,322            175,619
478,630             15,321            175,455
489,779             15,318            175,160
501,187             15,316            174,991
512,861             15,313            174,949
524,807             15,311            174,708
537,032             15,309            174,625
549,541             15,306            174,416
562,341             15,303            174,246
575,440             15,300            174,079
588,844             15,297            173,900
602,560             15,292            173,671
616,595             15,291            173,513
630,957             15,287            173,319
645,654             15,283            173,113
660,693             15,279            172,908
676,083             15,276            172,701
691,831             15,272            172,808
707,946             15,267            172,291
724,436             15,262            172,393
741,310             15,257            171,844
758,578             15,252            171,618
776,247             15,247            171,396
794,328             15,246            171,136
812,831             15,235            170,805
831,764             15,229            170,694
851,138             15,223            170,445
870,964             15,216            170,182
891,251             15,210            169,946
912,011             15,203            169,689
933,254             15,195            169,425
954,993             15,187            169,143
977,237             15,179            168,880
1000,000             15,169            169,042
1023,293             15,161            168,309
1047,129             15,151            168,027
1071,519             15,142            167,730
1096,478             15,131            167,406
1122,018             15,121            167,119
1148,154             15,110            166,812
1174,898             15,098            166,493
1202,264             15,080            166,112
1230,269             15,073            165,834
1258,925             15,059            165,499
1288,250             15,045            165,155
1318,257             15,030            164,779
1348,963             15,016            164,447
1380,384             15,000            164,080
1412,538             14,983            163,707
1445,440             14,966            163,321
1479,108             14,948            162,960
1513,561             14,930            162,580
1548,817             14,911            162,189
1584,893             14,890            161,789
1621,810             14,868            161,346
1659,587             14,846            160,926
1698,244             14,823            160,506
1737,801             14,800            159,606
1778,279             14,775            159,639
1819,701             14,749            159,183
1862,087             14,723            158,748
1905,461             14,695            158,298
1949,845             14,665            157,825
1995,262             14,636            157,345
2041,738             14,603            156,863
2089,296             14,570            156,379
2137,962             14,537            155,877
2187,762             14,500            155,352
2238,721             14,464            154,861
2290,868             14,427            154,353
2344,229             14,387            153,816
2398,833             14,342            153,225
2454,709             14,302            152,744
2511,886             14,259            152,195
2570,396             14,212            151,621
2630,268             14,156            151,958
2691,535             14,116            150,514
2754,229             14,065            149,931
2818,383             14,014            149,375
2884,032             13,962            148,813
2951,209             13,905            148,204
3019,952             13,847            147,621
3090,295             13,788            147,022
3162,278             13,725            146,392
3235,937             13,663            145,806
3311,311             13,593            145,149
3388,442             13,525            144,843
3467,369             13,458            143,928
3548,134             13,385            143,271
3630,781             13,315            142,676
3715,352             13,238            142,040
3801,894             13,160            141,401
3890,451             13,078            140,749
3981,072             12,989            140,076
4073,803             12,912            139,462
4168,694             12,821            138,787
4265,795             12,738            138,202
4365,158             12,643            137,511
4466,836             12,552            136,876
4570,882             12,456            136,226
4677,351             12,356            135,559
4786,301             12,260            134,930
4897,788             12,150            134,228
5011,872             12,052            133,635
5128,614             11,941            132,953
5248,075             11,828            132,279
5370,318             11,718            131,603
5495,409             11,602            130,993
5623,413             11,490            130,372
5754,399             11,371            129,732
5888,437             11,256            129,124
6025,596             11,131            128,471
6165,950             11,007            127,850
6309,573             10,876            127,203
6456,542             10,747            126,580
6606,934             10,624            126,017
6760,830             10,486            125,365
6918,310             10,348            124,745
7079,458             10,209            124,135
7244,360             10,073            123,552
7413,102              9,937            122,992
7585,776              9,793            122,399
7762,471              9,645            121,792
7943,282              9,508            121,275
8128,305              9,360            120,702
8317,638              9,207            120,130
8511,380              9,057            119,581
8709,636              8,904            119,027
8912,509              8,748            118,486
9120,108              8,591            117,949
9332,543              8,431            117,413
9549,926              8,282            116,938
9772,372              8,121            116,429
10000,000              7,975            113,305
10232,930              7,787            115,386
10471,285              7,634            114,943
10715,193              7,457            114,411
10964,782              7,301            113,982
11220,185              7,125            113,485
11481,536              6,955            113,021
11748,976              6,795            112,617
12022,644              6,621            112,161
12302,688              6,447            111,716
12589,254              6,280            111,308
12882,496              6,092            110,833
13182,567              5,929            110,481
13489,629              5,755            110,078
13803,843              5,565            109,629
14125,375              5,399            109,279
14454,398              5,213            108,870
14791,084              5,035            108,497
15135,612              4,853            108,117
15488,166              4,675            107,765
15848,932              4,497            107,424
16218,101              4,315            107,075
16595,869              4,127            106,719
16982,437              3,941            106,376
17378,008              3,760            106,051
17782,794              3,573            105,732
18197,009              3,389            104,398
18620,871              3,205            105,117
19054,607              2,971            105,072
19498,446              2,835            104,531
19952,623              2,643            104,215
