Freq.	V(vc)
4.36515832240164e+001	(1.53421042815797e+001dB,-1.67667930588539e+002°)
4.46683592150961e+001	(1.53517650690993e+001dB,-1.67963063470812e+002°)
4.57088189614873e+001	(1.53610096884069e+001dB,-1.68252636746812e+002°)
4.67735141287196e+001	(1.53698551014159e+001dB,-1.68536751989015e+002°)
4.78630092322636e+001	(1.53783176427596e+001dB,-1.68815511038923e+002°)
4.89778819368444e+001	(1.53864130367724e+001dB,-1.69089015880817e+002°)
5.01187233627270e+001	(1.53941564145288e+001dB,-1.69357368524557e+002°)
5.12861383991362e+001	(1.54015623308894e+001dB,-1.69620670897069e+002°)
5.24807460249770e+001	(1.54086447814892e+001dB,-1.69879024742137e+002°)
5.37031796370250e+001	(1.54154172196332e+001dB,-1.70132531528133e+002°)
5.49540873857622e+001	(1.54218925730414e+001dB,-1.70381292363318e+002°)
5.62341325190346e+001	(1.54280832604155e+001dB,-1.70625407918339e+002°)
5.75439937337154e+001	(1.54340012077843e+001dB,-1.70864978355593e+002°)
5.88843655355586e+001	(1.54396578646063e+001dB,-1.71100103265079e+002°)
6.02559586074355e+001	(1.54450642195972e+001dB,-1.71330881606425e+002°)
6.16595001861479e+001	(1.54502308162597e+001dB,-1.71557411656743e+002°)
6.30957344480190e+001	(1.54551677681005e+001dB,-1.71779790964008e+002°)
6.45654229034652e+001	(1.54598847735143e+001dB,-1.71998116305638e+002°)
6.60693448007593e+001	(1.54643911303232e+001dB,-1.72212483651989e+002°)
6.76082975391978e+001	(1.54686957499603e+001dB,-1.72422988134479e+002°)
6.91830970918933e+001	(1.54728071712849e+001dB,-1.72629724018062e+002°)
7.07945784384134e+001	(1.54767335740310e+001dB,-1.72832784677784e+002°)
7.24435960074986e+001	(1.54804827918768e+001dB,-1.73032262579192e+002°)
7.41310241300914e+001	(1.54840623251336e+001dB,-1.73228249262328e+002°)
7.58577575029180e+001	(1.54874793530567e+001dB,-1.73420835329103e+002°)
7.76247116628688e+001	(1.54907407457728e+001dB,-1.73610110433820e+002°)
7.94328234724277e+001	(1.54938530758274e+001dB,-1.73796163276640e+002°)
8.12830516164095e+001	(1.54968226293561e+001dB,-1.73979081599810e+002°)
8.31763771102667e+001	(1.54996554168780e+001dB,-1.74158952186444e+002°)
8.51138038202372e+001	(1.55023571837211e+001dB,-1.74335860861705e+002°)
8.70963589956076e+001	(1.55049334200794e+001dB,-1.74509892496203e+002°)
8.91250938133741e+001	(1.55073893707075e+001dB,-1.74681131011469e+002°)
9.12010839355905e+001	(1.55097300442628e+001dB,-1.74849659387339e+002°)
9.33254300796986e+001	(1.55119602222964e+001dB,-1.75015559671130e+002°)
9.54992586021431e+001	(1.55140844679008e+001dB,-1.75178912988462e+002°)
9.77237220955805e+001	(1.55161071340201e+001dB,-1.75339799555611e+002°)
9.99999999999995e+001	(1.55180323714371e+001dB,-1.75498298693269e+002°)
1.02329299228075e+002	(1.55198641364306e+001dB,-1.75654488841620e+002°)
1.04712854805089e+002	(1.55216061981224e+001dB,-1.75808447576609e+002°)
1.07151930523760e+002	(1.55232621455174e+001dB,-1.75960251627332e+002°)
1.09647819614318e+002	(1.55248353942413e+001dB,-1.76109976894444e+002°)
1.12201845430196e+002	(1.55263291929890e+001dB,-1.76257698469498e+002°)
1.14815362149688e+002	(1.55277466296855e+001dB,-1.76403490655164e+002°)
1.17489755493952e+002	(1.55290906373686e+001dB,-1.76547426986223e+002°)
1.20226443461741e+002	(1.55303639998036e+001dB,-1.76689580251297e+002°)
1.23026877081237e+002	(1.55315693568308e+001dB,-1.76830022515239e+002°)
1.25892541179416e+002	(1.55327092094605e+001dB,-1.76968825142124e+002°)
1.28824955169313e+002	(1.55337859247136e+001dB,-1.77106058818803e+002°)
1.31825673855640e+002	(1.55348017402212e+001dB,-1.77241793578949e+002°)
1.34896288259165e+002	(1.55357587685870e+001dB,-1.77376098827573e+002°)
1.38038426460288e+002	(1.55366590015184e+001dB,-1.77509043365946e+002°)
1.41253754462275e+002	(1.55375043137301e+001dB,-1.77640695416905e+002°)
1.44543977074592e+002	(1.55382964666343e+001dB,-1.77771122650495e+002°)
1.47910838816820e+002	(1.55390371118100e+001dB,-1.77900392209929e+002°)
1.51356124843620e+002	(1.55397277942670e+001dB,-1.78028570737816e+002°)
1.54881661891247e+002	(1.55403699555087e+001dB,-1.78155724402644e+002°)
1.58489319246110e+002	(1.55409649363901e+001dB,-1.78281918925492e+002°)
1.62181009735892e+002	(1.55415139797850e+001dB,-1.78407219606937e+002°)
1.65958690743755e+002	(1.55420182330619e+001dB,-1.78531691354147e+002°)
1.69824365246173e+002	(1.55424787503746e+001dB,-1.78655398708131e+002°)
1.73780082874936e+002	(1.55428964947669e+001dB,-1.78778405871132e+002°)
1.77827941003891e+002	(1.55432723401015e+001dB,-1.78900776734151e+002°)
1.81970085860997e+002	(1.55436070728110e+001dB,-1.79022574904574e+002°)
1.86208713666286e+002	(1.55439013934735e+001dB,-1.79143863733904e+002°)
1.90546071796323e+002	(1.55441559182228e+001dB,-1.79264706345574e+002°)
1.94984459975803e+002	(1.55443711799839e+001dB,-1.79385165662832e+002°)
1.99526231496887e+002	(1.55445476295461e+001dB,-1.79505304436689e+002°)
2.04173794466952e+002	(1.55446856364713e+001dB,-1.79625185273922e+002°)
2.08929613085403e+002	(1.55447854898370e+001dB,-1.79744870665112e+002°)
2.13796208950222e+002	(1.55448473988190e+001dB,-1.79864423012723e+002°)
2.18776162394954e+002	(1.55448714931135e+001dB,-1.79983904659204e+002°)
2.23872113856832e+002	(1.55448578231977e+001dB,1.79896622084898e+002°)
2.29086765276776e+002	(1.55448063604339e+001dB,1.79777094912803e+002°)
2.34422881531991e+002	(1.55447169970087e+001dB,1.79657451493379e+002°)
2.39883291901947e+002	(1.55445895457171e+001dB,1.79537629443016e+002°)
2.45470891568501e+002	(1.55444237395858e+001dB,1.79417566297518e+002°)
2.51188643150956e+002	(1.55442192313330e+001dB,1.79297199484022e+002°)
2.57039578276885e+002	(1.55439755926723e+001dB,1.79176466292942e+002°)
2.63026799189536e+002	(1.55436923134472e+001dB,1.79055303849960e+002°)
2.69153480392690e+002	(1.55433688006059e+001dB,1.78933649088056e+002°)
2.75422870333815e+002	(1.55430043770094e+001dB,1.78811438719608e+002°)
2.81838293126443e+002	(1.55425982800707e+001dB,1.78688609208553e+002°)
2.88403150312659e+002	(1.55421496602258e+001dB,1.78565096742633e+002°)
2.95120922666637e+002	(1.55416575792280e+001dB,1.78440837205736e+002°)
3.01995172040200e+002	(1.55411210082733e+001dB,1.78315766150341e+002°)
3.09029543251357e+002	(1.55405388259402e+001dB,1.78189818770084e+002°)
3.16227766016836e+002	(1.55399098159532e+001dB,1.78062929872469e+002°)
3.23593656929626e+002	(1.55392326647576e+001dB,1.77935033851724e+002°)
3.31131121482589e+002	(1.55385059589066e+001dB,1.77806064661840e+002°)
3.38844156139200e+002	(1.55377281822540e+001dB,1.77675955789803e+002°)
3.46736850452529e+002	(1.55368977129509e+001dB,1.77544640229040e+002°)
3.54813389233573e+002	(1.55360128202363e+001dB,1.77412050453119e+002°)
3.63078054770099e+002	(1.55350716610255e+001dB,1.77278118389707e+002°)
3.71535229097170e+002	(1.55340722762809e+001dB,1.77142775394837e+002°)
3.80189396320558e+002	(1.55330125871688e+001dB,1.77005952227501e+002°)
3.89045144994278e+002	(1.55318903909913e+001dB,1.76867579024617e+002°)
3.98107170553494e+002	(1.55307033568863e+001dB,1.76727585276395e+002°)
4.07380277804110e+002	(1.55294490212988e+001dB,1.76585899802149e+002°)
4.16869383470332e+002	(1.55281247832014e+001dB,1.76442450726607e+002°)
4.26579518801589e+002	(1.55267278990750e+001dB,1.76297165456751e+002°)
4.36515832240163e+002	(1.55252554776302e+001dB,1.76149970659250e+002°)
4.46683592150960e+002	(1.55237044742655e+001dB,1.76000792238546e+002°)
4.57088189614872e+002	(1.55220716852615e+001dB,1.75849555315639e+002°)
4.67735141287195e+002	(1.55203537416964e+001dB,1.75696184207650e+002°)
4.78630092322635e+002	(1.55185471030775e+001dB,1.75540602408223e+002°)
4.89778819368443e+002	(1.55166480506846e+001dB,1.75382732568847e+002°)
5.01187233627268e+002	(1.55146526806134e+001dB,1.75222496481178e+002°)
5.12861383991361e+002	(1.55125568965155e+001dB,1.75059815060442e+002°)
5.24807460249769e+002	(1.55103564020265e+001dB,1.74894608330016e+002°)
5.37031796370249e+002	(1.55080466928686e+001dB,1.74726795407294e+002°)
5.49540873857620e+002	(1.55056230486343e+001dB,1.74556294490922e+002°)
5.62341325190345e+002	(1.55030805242302e+001dB,1.74383022849542e+002°)
5.75439937337152e+002	(1.55004139409802e+001dB,1.74206896812143e+002°)
5.88843655355584e+002	(1.54976178773852e+001dB,1.74027831760162e+002°)
6.02559586074353e+002	(1.54946866595203e+001dB,1.73845742121465e+002°)
6.16595001861477e+002	(1.54916143510851e+001dB,1.73660541366351e+002°)
6.30957344480188e+002	(1.54883947430735e+001dB,1.73472142005743e+002°)
6.45654229034650e+002	(1.54850213430887e+001dB,1.73280455591713e+002°)
6.60693448007591e+002	(1.54814873642715e+001dB,1.73085392720532e+002°)
6.76082975391976e+002	(1.54777857138608e+001dB,1.72886863038412e+002°)
6.91830970918931e+002	(1.54739089813674e+001dB,1.72684775250146e+002°)
7.07945784384132e+002	(1.54698494263724e+001dB,1.72479037130836e+002°)
7.24435960074984e+002	(1.54655989659415e+001dB,1.72269555540934e+002°)
7.41310241300911e+002	(1.54611491616580e+001dB,1.72056236444820e+002°)
7.58577575029177e+002	(1.54564912062828e+001dB,1.71838984933143e+002°)
7.76247116628685e+002	(1.54516159100360e+001dB,1.71617705249191e+002°)
7.94328234724275e+002	(1.54465136865171e+001dB,1.71392300819528e+002°)
8.12830516164092e+002	(1.54411745382590e+001dB,1.71162674289194e+002°)
8.31763771102664e+002	(1.54355880419430e+001dB,1.70928727561717e+002°)
8.51138038202369e+002	(1.54297433332672e+001dB,1.70690361844275e+002°)
8.70963589956073e+002	(1.54236290915053e+001dB,1.70447477698263e+002°)
8.91250938133738e+002	(1.54172335237561e+001dB,1.70199975095625e+002°)
9.12010839355902e+002	(1.54105443489160e+001dB,1.69947753481249e+002°)
9.33254300796983e+002	(1.54035487813971e+001dB,1.69690711841775e+002°)
9.54992586021428e+002	(1.53962335146192e+001dB,1.69428748781152e+002°)
9.77237220955802e+002	(1.53885847043092e+001dB,1.69161762603305e+002°)
9.99999999999991e+002	(1.53805879516441e+001dB,1.68889651402272e+002°)
1.02329299228075e+003	(1.53722282862813e+001dB,1.68612313160174e+002°)
1.04712854805089e+003	(1.53634901493276e+001dB,1.68329645853385e+002°)
1.07151930523760e+003	(1.53543573762883e+001dB,1.68041547567284e+002°)
1.09647819614318e+003	(1.53448131800652e+001dB,1.67747916619963e+002°)
1.12201845430195e+003	(1.53348401340649e+001dB,1.67448651695249e+002°)
1.14815362149687e+003	(1.53244201554879e+001dB,1.67143651985422e+002°)
1.17489755493952e+003	(1.53135344888723e+001dB,1.66832817343987e+002°)
1.20226443461740e+003	(1.53021636899868e+001dB,1.66516048448831e+002°)
1.23026877081237e+003	(1.52902876101519e+001dB,1.66193246976133e+002°)
1.25892541179416e+003	(1.52778853811016e+001dB,1.65864315785303e+002°)
1.28824955169312e+003	(1.52649354004830e+001dB,1.65529159115275e+002°)
1.31825673855640e+003	(1.52514153181185e+001dB,1.65187682792397e+002°)
1.34896288259164e+003	(1.52373020231454e+001dB,1.64839794450159e+002°)
1.38038426460287e+003	(1.52225716321717e+001dB,1.64485403760949e+002°)
1.41253754462274e+003	(1.52071994785885e+001dB,1.64124422679971e+002°)
1.44543977074591e+003	(1.51911601031840e+001dB,1.63756765701439e+002°)
1.47910838816819e+003	(1.51744272462240e+001dB,1.63382350127057e+002°)
1.51356124843619e+003	(1.51569738411521e+001dB,1.63001096346776e+002°)
1.54881661891247e+003	(1.51387720100996e+001dB,1.62612928131690e+002°)
1.58489319246110e+003	(1.51197930613724e+001dB,1.62217772938915e+002°)
1.62181009735891e+003	(1.51000074891059e+001dB,1.61815562228139e+002°)
1.65958690743754e+003	(1.50793849752853e+001dB,1.61406231789484e+002°)
1.69824365246173e+003	(1.50578943943275e+001dB,1.60989722082164e+002°)
1.73780082874936e+003	(1.50355038204225e+001dB,1.60565978583366e+002°)
1.77827941003891e+003	(1.50121805378504e+001dB,1.60134952146589e+002°)
1.81970085860997e+003	(1.49878910544704e+001dB,1.59696599368595e+002°)
1.86208713666285e+003	(1.49626011185925e+001dB,1.59250882963961e+002°)
1.90546071796323e+003	(1.49362757394402e+001dB,1.58797772146063e+002°)
1.94984459975803e+003	(1.49088792113974e+001dB,1.58337243013206e+002°)
1.99526231496886e+003	(1.48803751422373e+001dB,1.57869278938403e+002°)
2.04173794466951e+003	(1.48507264855199e+001dB,1.57393870961181e+002°)
2.08929613085402e+003	(1.48198955773236e+001dB,1.56911018179618e+002°)
2.13796208950221e+003	(1.47878441774791e+001dB,1.56420728140618e+002°)
2.18776162394953e+003	(1.47545335154401e+001dB,1.55923017226309e+002°)
2.23872113856832e+003	(1.47199243409112e+001dB,1.55417911034245e+002°)
2.29086765276775e+003	(1.46839769793297e+001dB,1.54905444748972e+002°)
2.34422881531990e+003	(1.46466513922723e+001dB,1.54385663502319e+002°)
2.39883291901947e+003	(1.46079072428182e+001dB,1.53858622719688e+002°)
2.45470891568501e+003	(1.45677039658762e+001dB,1.53324388449455e+002°)
2.51188643150955e+003	(1.45260008434378e+001dB,1.52783037672511e+002°)
2.57039578276884e+003	(1.44827570846816e+001dB,1.52234658588857e+002°)
2.63026799189535e+003	(1.44379319108116e+001dB,1.51679350878126e+002°)
2.69153480392689e+003	(1.43914846444563e+001dB,1.51117225930870e+002°)
2.75422870333814e+003	(1.43433748034204e+001dB,1.50548407047432e+002°)
2.81838293126442e+003	(1.42935621985189e+001dB,1.49973029601241e+002°)
2.88403150312658e+003	(1.42420070351757e+001dB,1.49391241163469e+002°)
2.95120922666635e+003	(1.41886700184153e+001dB,1.48803201586058e+002°)
3.01995172040198e+003	(1.41335124608264e+001dB,1.48209083040269e+002°)
3.09029543251356e+003	(1.40764963930126e+001dB,1.47609070008135e+002°)
3.16227766016835e+003	(1.40175846760129e+001dB,1.47003359224345e+002°)
3.23593656929625e+003	(1.39567411151080e+001dB,1.46392159566469e+002°)
3.31131121482588e+003	(1.38939305743943e+001dB,1.45775691891632e+002°)
3.38844156139199e+003	(1.38291190914643e+001dB,1.45154188818205e+002°)
3.46736850452528e+003	(1.37622739914901e+001dB,1.44527894451414e+002°)
3.54813389233572e+003	(1.36933639999893e+001dB,1.43897064052192e+002°)
3.63078054770097e+003	(1.36223593535101e+001dB,1.43261963649153e+002°)
3.71535229097168e+003	(1.35492319074786e+001dB,1.42622869593925e+002°)
3.80189396320557e+003	(1.34739552404256e+001dB,1.41980068060692e+002°)
3.89045144994276e+003	(1.33965047538213e+001dB,1.41333854491287e+002°)
